Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),PLANTAX08:OFFICE MI_OBJETO_PEOPLE:Zone Thermal Comfort Fanger Model PMV [](Hourly),PLANTAX08:OFFICE MI_OBJETO_PEOPLE:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PLANTAX08:OFFICE MI_OBJETO_PEOPLE:Zone Thermal Comfort Mean Radiant Temperature [C](Hourly),PLANTAX08:OFFICE MI_OBJETO_PEOPLE:Zone Thermal Comfort Operative Temperature [C](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),Carbon Equivalent:Facility [kg](Hourly)
 01/17  24:00:00,15.316666666666669,14.458333333333334,101600.0,9.341666666666667,210.0,0.0,0.0,294.8534875812788,-59.445790525789849,0.10602958172411609,5.232840877761679,22.74355527560895,22.823698359938459,966528.0154354514,0.0,0.0
 01/18  01:00:00,15.516666666666666,14.558333333333332,101600.0,10.383333333333333,210.0,0.0,0.0,40.5895762008688,-68.75982511961893,0.10428811874516747,5.2253585688360248,22.684210400577368,22.78500118473689,966528.0154354514,0.0,0.0
 01/18  02:00:00,15.599999999999996,14.6,101541.66666666667,10.683333333333336,210.0,0.0,0.0,11.937240404208728,-72.87425260576342,0.10085298338163218,5.2106887238466899,22.646898640818426,22.748499354847863,966528.0154354514,0.0,0.0
 01/18  03:00:00,15.599999999999996,14.6,101441.66666666667,10.541666666666666,210.0,0.0,0.0,41.84741282655711,-68.45814916466627,0.10453983461964872,5.226338871988642,22.63551066167665,22.747608568884635,966528.0154354514,0.0,0.0
 01/18  04:00:00,15.599999999999996,14.6,101400.0,10.383333333333333,215.83333333333335,0.0,0.0,65.63451771653216,-58.84146757645811,0.10094642951632399,5.2112386565576289,22.59846869236957,22.71959920356636,966528.0154354514,0.0,0.0
 01/18  05:00:00,15.483333333333335,14.25,101341.66666666667,7.266666666666667,220.0,0.0,0.0,79.69406023172773,-47.49563210297851,0.08954307113892274,5.166362885879503,22.55379244050882,22.667778691463146,966528.0154354514,0.0,0.0
 01/18  06:00:00,15.4,14.0,101300.0,5.1000000000000009,220.0,0.0,0.0,89.87409690592665,-35.65893758163996,0.07835070456181123,5.127154991475716,22.53378159573977,22.632277112714318,966528.0154354514,0.0,0.0
 01/18  07:00:00,15.4,14.0,101300.0,5.1000000000000009,220.0,0.0,0.0,98.55904742519242,-23.801517555969985,0.07928223761809049,5.130163577770365,22.53478624275135,22.64312432875505,966528.0154354514,0.0,0.0
 01/18  08:00:00,15.341666666666667,13.883333333333333,101358.33333333333,5.1000000000000009,220.0,0.0,0.0,106.88073119443489,-12.200799497102297,0.12820779701686078,5.353579294488822,22.769847114769289,22.854671885013166,13943697.920235448,12977169.904799996,0.0
 01/18  09:00:00,15.183333333333332,13.625,101400.0,5.1000000000000009,220.0,7.333333333333333,1.2499999999999998,115.54987537969828,-1.1119157727535514,0.18968782679601635,5.749151134335615,22.984017415539758,23.112821720999965,13943697.920235448,12977169.904799996,0.0
 01/18  10:00:00,15.041666666666666,13.325000000000001,101458.33333333333,5.1000000000000009,225.83333333333335,59.166666666666667,10.083333333333333,125.14773563133393,9.155513602713257,0.23268829513831655,6.1267059327143349,23.19231961858621,23.30226188976574,13943697.920235448,12977169.904799996,0.0
 01/18  11:00:00,14.416666666666666,13.083333333333334,101558.33333333333,6.325,259.1666666666667,130.91666666666667,21.75,136.21358647949413,18.181567922134108,0.2647575729233181,6.455553854152792,23.365289100472926,23.448828333405456,13943697.920235448,12977169.904799996,0.0
 01/18  12:00:00,14.0,11.25,101658.33333333333,6.616666666666667,303.3333333333333,181.41666666666667,30.833333333333333,149.17688745555038,25.399143515730015,0.2744216468181862,6.56573517659352,23.53164564343001,23.51968560350133,13943697.920235448,12977169.904799996,0.0
 01/18  13:00:00,14.0,8.833333333333334,101758.33333333333,6.783333333333334,320.0,210.33333333333335,13.416666666666666,164.0972592036089,30.12539123518641,0.287545675403623,6.719373528397675,23.651433102149566,23.64968597152097,13943697.920235448,12977169.904799996,0.0
 01/18  14:00:00,14.408333333333334,8.058333333333334,101800.0,6.791666666666667,320.0,203.58333333333335,4.25,180.3203245220284,31.742063909787679,0.2761899915462751,6.586896798117134,23.748223256333703,23.703560381922644,13943697.920235448,12977169.904799996,0.0
 01/18  15:00:00,15.049999999999999,8.1,101800.0,6.091666666666666,320.0,168.25,1.0833333333333333,196.5147277019171,29.9963565949505,0.3132431085752485,7.040558273352818,23.89306516564319,23.926596318916514,13943697.920235448,12977169.904799996,0.0
 01/18  16:00:00,15.708333333333334,8.1,101741.66666666667,5.391666666666667,314.1666666666667,128.5,37.58333333333333,211.36577099653207,25.16025229921453,0.33404231310319318,7.3226072890247428,23.971846118935316,24.061697197147635,13943697.920235448,12977169.904799996,0.0
 01/18  17:00:00,15.591666666666667,7.808333333333333,101758.33333333333,4.691666666666666,310.0,120.75,214.91666666666667,224.25052774324647,17.85992999035995,0.38774654466228539,8.13661975485843,24.258150901657257,24.322279593860828,13943697.920235448,12977169.904799996,0.0
 01/18  18:00:00,14.950000000000001,7.308333333333334,101916.66666666667,4.05,310.0,54.583333333333339,226.5,235.24993809533513,8.775946583630115,0.41230583577363208,8.54352591698643,24.40227130128699,24.45367621138173,13943697.920235448,12977169.904799996,0.0
 01/18  19:00:00,14.291666666666666,6.808333333333333,102058.33333333333,3.391666666666667,315.8333333333333,6.666666666666667,23.08333333333333,244.80130017618297,-1.5304366847331473,0.359326955046263,7.69996650427408,24.17637945134729,24.261953986367293,13943697.920235448,12977169.904799996,0.0
 01/18  20:00:00,12.833333333333334,5.900000000000001,102158.33333333333,3.1,320.0,0.0,0.0,253.44567714068195,-12.644489866905659,0.22540567404364562,6.1065426852155799,23.71631278830373,23.751023986460557,966528.0154354514,0.0,0.0
 01/18  21:00:00,10.833333333333334,4.583333333333333,102258.33333333333,3.1,314.1666666666667,0.0,0.0,261.7667697335787,-24.259824605753804,0.07409712147565639,5.143594124650754,23.308236377293189,23.194233935723074,966528.0154354514,0.0,0.0
 01/18  22:00:00,9.533333333333334,3.9416666666666666,102300.0,2.6333333333333335,310.0,0.0,0.0,270.4843772268321,-36.12212001942384,-0.04489472049025097,5.058601086538066,22.99248816494278,22.781898930211839,966528.0154354514,0.0,0.0
 01/18  23:00:00,8.733333333333333,3.841666666666667,102300.0,1.8333333333333333,310.0,0.0,0.0,280.75785865604379,-47.95074128330713,-0.1341374428793914,5.38387127925063,22.731699121417507,22.48046962655901,966528.0154354514,0.0,0.0
 01/18  24:00:00,7.933333333333334,3.6833333333333337,102358.33333333333,1.0916666666666666,310.0,0.0,0.0,295.0533281208123,-59.261090047868808,-0.2097808918701096,5.921210690775648,22.504250252057007,22.220729537967157,966528.0154354514,0.0,0.0
 01/19  01:00:00,7.133333333333333,3.5416666666666667,102400.0,0.3333333333333333,279.1666666666667,0.0,0.0,40.46083222950612,-68.5508569077942,-0.27659455544488506,6.595690667164092,22.304617588095156,21.98988719668915,966528.0154354514,0.0,0.0
 01/19  02:00:00,6.391666666666667,3.091666666666667,102400.0,0.2916666666666667,0.0,0.0,0.0,11.820356516466381,-72.67593843987723,-0.33857494594763196,7.390943185498823,22.11706271705299,21.77502019020697,966528.0154354514,0.0,0.0
