Date/Time,Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),Carbon Equivalent:Facility [kg](Hourly)
 01/07  01:00:00,966528.0154354514,0.0,0.0
 01/07  02:00:00,966528.0154354514,0.0,0.0
 01/07  03:00:00,966528.0154354514,0.0,0.0
 01/07  04:00:00,1023812.5753396242,0.0,0.0
 01/07  05:00:00,1648034.488501344,0.0,0.0
 01/07  06:00:00,2143744.2113564445,0.0,0.0
 01/07  07:00:00,2410265.790003562,0.0,0.0
 01/07  08:00:00,14312894.59030673,12977169.904799996,0.0
 01/07  09:00:00,14012734.610404883,12977169.904799996,0.0
 01/07  10:00:00,13943697.920235448,12977169.904799996,0.0
 01/07  11:00:00,13943697.920235448,12977169.904799996,0.0
 01/07  12:00:00,13943697.920235448,12977169.904799996,0.0
 01/07  13:00:00,13943697.920235448,12977169.904799996,0.0
 01/07  14:00:00,13943697.920235448,12977169.904799996,0.0
 01/07  15:00:00,13943697.920235448,12977169.904799996,0.0
 01/07  16:00:00,13943697.920235448,12977169.904799996,0.0
 01/07  17:00:00,13943697.920235448,12977169.904799996,0.0
 01/07  18:00:00,13943697.920235448,12977169.904799996,0.0
 01/07  19:00:00,13943697.920235448,12977169.904799996,0.0
 01/07  20:00:00,966528.0154354514,0.0,0.0
 01/07  21:00:00,966528.0154354514,0.0,0.0
 01/07  22:00:00,966528.0154354514,0.0,0.0
 01/07  23:00:00,966528.0154354514,0.0,0.0
 01/07  24:00:00,966528.0154354514,0.0,0.0
 01/08  01:00:00,966528.0154354514,0.0,0.0
 01/08  02:00:00,966528.0154354514,0.0,0.0
 01/08  03:00:00,1621894.9257626625,0.0,0.0
 01/08  04:00:00,2459467.791173856,0.0,0.0
 01/08  05:00:00,3284620.0320596939,0.0,0.0
 01/08  06:00:00,4247446.252903135,0.0,0.0
 01/08  07:00:00,5195741.830216313,0.0,0.0
 01/08  08:00:00,16609924.630632898,12977169.904799996,0.0
 01/08  09:00:00,15615601.914685522,12977169.904799996,0.0
 01/08  10:00:00,14054746.801476483,12977169.904799996,0.0
 01/08  11:00:00,13943697.920235448,12977169.904799996,0.0
 01/08  12:00:00,13943697.920235448,12977169.904799996,0.0
 01/08  13:00:00,13943697.920235448,12977169.904799996,0.0
 01/08  14:00:00,13943697.920235448,12977169.904799996,0.0
 01/08  15:00:00,13943697.920235448,12977169.904799996,0.0
 01/08  16:00:00,13943697.920235448,12977169.904799996,0.0
 01/08  17:00:00,13943697.920235448,12977169.904799996,0.0
 01/08  18:00:00,13943697.920235448,12977169.904799996,0.0
 01/08  19:00:00,13943697.920235448,12977169.904799996,0.0
 01/08  20:00:00,966528.0154354514,0.0,0.0
 01/08  21:00:00,966528.0154354514,0.0,0.0
 01/08  22:00:00,966528.0154354514,0.0,0.0
 01/08  23:00:00,966528.0154354514,0.0,0.0
 01/08  24:00:00,1916848.3891296513,0.0,0.0
 01/09  01:00:00,3882254.427236554,0.0,0.0
 01/09  02:00:00,4834219.94803747,0.0,0.0
 01/09  03:00:00,5570710.070359457,0.0,0.0
 01/09  04:00:00,6349535.885678536,0.0,0.0
 01/09  05:00:00,6927814.215506409,0.0,0.0
 01/09  06:00:00,7339452.803567844,0.0,0.0
 01/09  07:00:00,7655658.677644539,0.0,0.0
 01/09  08:00:00,18999148.738465869,12977169.904799996,0.0
 01/09  09:00:00,18222067.296938287,12977169.904799996,0.0
 01/09  10:00:00,16654331.939460047,12977169.904799996,0.0
 01/09  11:00:00,14783617.986282655,12977169.904799996,0.0
 01/09  12:00:00,13943697.920235448,12977169.904799996,0.0
 01/09  13:00:00,13943697.920235448,12977169.904799996,0.0
 01/09  14:00:00,13943697.920235448,12977169.904799996,0.0
 01/09  15:00:00,13943697.920235448,12977169.904799996,0.0
 01/09  16:00:00,13943697.920235448,12977169.904799996,0.0
 01/09  17:00:00,13943697.920235448,12977169.904799996,0.0
 01/09  18:00:00,13943697.920235448,12977169.904799996,0.0
 01/09  19:00:00,13943697.920235448,12977169.904799996,0.0
 01/09  20:00:00,966528.0154354514,0.0,0.0
 01/09  21:00:00,966528.0154354514,0.0,0.0
 01/09  22:00:00,966528.0154354514,0.0,0.0
 01/09  23:00:00,966528.0154354514,0.0,0.0
 01/09  24:00:00,966528.0154354514,0.0,0.0
 01/10  01:00:00,966528.0154354514,0.0,0.0
 01/10  02:00:00,1449159.2943299388,0.0,0.0
 01/10  03:00:00,2923473.6773755496,0.0,0.0
 01/10  04:00:00,2645676.020294194,0.0,0.0
 01/10  05:00:00,3077850.772367132,0.0,0.0
 01/10  06:00:00,4071253.579338331,0.0,0.0
 01/10  07:00:00,5038294.456689961,0.0,0.0
 01/10  08:00:00,16491909.377391175,12977169.904799996,0.0
 01/10  09:00:00,15521287.877903,12977169.904799996,0.0
 01/10  10:00:00,14258737.277418433,12977169.904799996,0.0
 01/10  11:00:00,13943697.920235448,12977169.904799996,0.0
 01/10  12:00:00,13943697.920235448,12977169.904799996,0.0
 01/10  13:00:00,13943697.920235448,12977169.904799996,0.0
 01/10  14:00:00,13943697.920235448,12977169.904799996,0.0
 01/10  15:00:00,13943697.920235448,12977169.904799996,0.0
 01/10  16:00:00,13943697.920235448,12977169.904799996,0.0
 01/10  17:00:00,13943697.920235448,12977169.904799996,0.0
 01/10  18:00:00,13943697.920235448,12977169.904799996,0.0
 01/10  19:00:00,13943697.920235448,12977169.904799996,0.0
 01/10  20:00:00,966528.0154354514,0.0,0.0
