Date/Time,Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),Carbon Equivalent:Facility [kg](Hourly)
 01/06  21:00:00,985533.4229541953,0.0,0.0
 01/06  22:00:00,985533.4229541953,0.0,0.0
 01/06  23:00:00,985533.4229541953,0.0,0.0
 01/06  24:00:00,985533.4229541953,0.0,0.0
 01/07  01:00:00,985533.4229541953,0.0,0.0
 01/07  02:00:00,985533.4229541953,0.0,0.0
 01/07  03:00:00,1370372.8993963549,0.0,0.0
 01/07  04:00:00,2231278.0188132675,0.0,0.0
 01/07  05:00:00,2628972.679326178,0.0,0.0
 01/07  06:00:00,2976786.3886402689,0.0,0.0
 01/07  07:00:00,3159345.073207427,0.0,0.0
 01/07  08:00:00,15118777.415536717,12977169.904799996,0.0
 01/07  09:00:00,14501801.598837154,12977169.904799996,0.0
 01/07  10:00:00,13962703.327754192,12977169.904799996,0.0
 01/07  11:00:00,13962703.327754192,12977169.904799996,0.0
 01/07  12:00:00,13962703.327754192,12977169.904799996,0.0
 01/07  13:00:00,13962703.327754192,12977169.904799996,0.0
 01/07  14:00:00,13962703.327754192,12977169.904799996,0.0
 01/07  15:00:00,13962703.327754192,12977169.904799996,0.0
 01/07  16:00:00,13962703.327754192,12977169.904799996,0.0
 01/07  17:00:00,13962703.327754192,12977169.904799996,0.0
 01/07  18:00:00,13962703.327754192,12977169.904799996,0.0
 01/07  19:00:00,13962703.327754192,12977169.904799996,0.0
 01/07  20:00:00,985533.4229541953,0.0,0.0
 01/07  21:00:00,985533.4229541953,0.0,0.0
 01/07  22:00:00,985533.4229541953,0.0,0.0
 01/07  23:00:00,985533.4229541953,0.0,0.0
 01/07  24:00:00,985533.4229541953,0.0,0.0
 01/08  01:00:00,985533.4229541953,0.0,0.0
 01/08  02:00:00,1802223.7500252848,0.0,0.0
 01/08  03:00:00,2714941.2760027616,0.0,0.0
 01/08  04:00:00,3338836.401834472,0.0,0.0
 01/08  05:00:00,4082630.5801483599,0.0,0.0
 01/08  06:00:00,4984672.375548318,0.0,0.0
 01/08  07:00:00,5884554.267665132,0.0,0.0
 01/08  08:00:00,17326061.471654566,12977169.904799996,0.0
 01/08  09:00:00,16343777.599786018,12977169.904799996,0.0
 01/08  10:00:00,14600605.02284395,12977169.904799996,0.0
 01/08  11:00:00,13962703.327754192,12977169.904799996,0.0
 01/08  12:00:00,13962703.327754192,12977169.904799996,0.0
 01/08  13:00:00,13962703.327754192,12977169.904799996,0.0
 01/08  14:00:00,13962703.327754192,12977169.904799996,0.0
 01/08  15:00:00,13962703.327754192,12977169.904799996,0.0
 01/08  16:00:00,13962703.327754192,12977169.904799996,0.0
 01/08  17:00:00,13962703.327754192,12977169.904799996,0.0
 01/08  18:00:00,13962703.327754192,12977169.904799996,0.0
 01/08  19:00:00,13962703.327754192,12977169.904799996,0.0
 01/08  20:00:00,985533.4229541953,0.0,0.0
 01/08  21:00:00,985533.4229541953,0.0,0.0
 01/08  22:00:00,985533.4229541953,0.0,0.0
 01/08  23:00:00,1144608.0051344138,0.0,0.0
 01/08  24:00:00,3107457.1354003546,0.0,0.0
 01/09  01:00:00,4748514.315075922,0.0,0.0
 01/09  02:00:00,5582503.53485188,0.0,0.0
 01/09  03:00:00,6248786.393426374,0.0,0.0
 01/09  04:00:00,6986164.209377707,0.0,0.0
 01/09  05:00:00,7544856.152985543,0.0,0.0
 01/09  06:00:00,7935663.25273563,0.0,0.0
 01/09  07:00:00,8230693.296774895,0.0,0.0
 01/09  08:00:00,19590014.503888623,12977169.904799996,0.0
 01/09  09:00:00,18841674.017222115,12977169.904799996,0.0
 01/09  10:00:00,17298793.338576449,12977169.904799996,0.0
 01/09  11:00:00,15427395.1083174,12977169.904799996,0.0
 01/09  12:00:00,14005497.450627817,12977169.904799996,0.0
 01/09  13:00:00,13962703.327754192,12977169.904799996,0.0
 01/09  14:00:00,13962703.327754192,12977169.904799996,0.0
 01/09  15:00:00,13962703.327754192,12977169.904799996,0.0
 01/09  16:00:00,13962703.327754192,12977169.904799996,0.0
 01/09  17:00:00,13962703.327754192,12977169.904799996,0.0
