Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),EMS:Adaptive Coefficient_PlantaX08_Office [](Hourly),EMS:aPMV_PlantaX08_Office [](Hourly),EMS:aPMV Heating Setpoint_PlantaX08_Office [](Hourly),EMS:aPMV Cooling Setpoint_PlantaX08_Office [](Hourly),EMS:aPMV Heating Setpoint No Tolerance_PlantaX08_Office [](Hourly),EMS:aPMV Cooling Setpoint No Tolerance_PlantaX08_Office [](Hourly),EMS:Comfortable Hours_PlantaX08_Office [H](Hourly),EMS:Discomfortable Hot Hours_PlantaX08_Office [H](Hourly),EMS:Discomfortable Cold Hours_PlantaX08_Office [H](Hourly),EMS:Discomfortable Total Hours_PlantaX08_Office [H](Hourly),EMS:Occupied hours_PlantaX08_Office [H](Hourly),PLANTAX08:OFFICE:Zone Mean Air Temperature [C](Hourly),PLANTAX08:OFFICE:Zone Operative Temperature [C](Hourly),PEOPLE PLANTAX08:OFFICE:Zone Thermal Comfort Fanger Model PMV [](Hourly),PEOPLE PLANTAX08:OFFICE:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PEOPLE PLANTAX08:OFFICE:Zone Thermal Comfort Mean Radiant Temperature [C](Hourly),PEOPLE PLANTAX08:OFFICE:Zone Thermal Comfort Operative Temperature [C](Hourly),PMV_H_SP_PLANTAX08_OFFICE:Schedule Value [](Hourly),PMV_C_SP_PLANTAX08_OFFICE:Schedule Value [](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),Carbon Equivalent:Facility [kg](Hourly)
 05/26  04:00:00,13.583333333333334,10.525,101500.0,2.5166666666666668,214.16666666666667,0.0,0.0,34.27754838144188,-23.450935789402839,0.0,0.0872394168004088,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,25.73731571302488,26.076539545750454,0.08376304097278729,5.145762358061458,26.41576337847603,26.07760116767655,-0.39999999999999999,0.39999999999999999,985533.4229541953,0.0,0.0
 05/26  05:00:00,12.833333333333334,10.375,101558.33333333333,2.1,198.33333333333335,0.0,0.0,46.677926896896618,-15.721374614347268,0.0,0.0633122469431715,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,25.621189619391428,25.95711550468164,0.05424675541460346,5.068020329399637,26.29304138997186,25.977719815204993,-0.39999999999999999,0.39999999999999999,985533.4229541953,0.0,0.0
 05/26  06:00:00,11.416666666666666,9.416666666666666,101600.0,2.1,201.66666666666667,0.0,0.0,57.28520090672427,-6.345622988459532,0.0,-0.009266302517349912,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,25.34026701729663,25.73862454168271,-0.022281892401763423,5.020041051015018,26.136982066068794,25.75988345835732,-0.39999999999999999,0.39999999999999999,985533.4229541953,0.0,0.0
 05/26  07:00:00,11.933333333333332,9.525,101600.0,0.875,237.5,24.722222222222219,33.333333333333339,66.56613013261384,4.151726491661717,0.0,-0.06041556910076573,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,25.27995156704549,25.699299727661669,-0.05488624311644686,5.069078604565381,26.118647888277839,25.68563195379264,-0.39999999999999999,0.39999999999999999,985533.4229541953,0.0,0.0
 05/26  08:00:00,14.0,11.708333333333334,101600.0,1.8083333333333334,52.5,92.41666666666667,219.5,75.06405358901613,15.385718168822257,0.0,0.057252055323558929,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,25.744519009017656,26.165268161345748,0.09123148628519799,5.246943857772256,26.586017313673837,26.113949065569785,-0.39999999999999999,0.39999999999999999,985533.4229541953,0.0,0.0
 05/26  09:00:00,16.75,11.833333333333334,101658.33333333333,1.875,60.833333333333339,149.66666666666667,433.75,83.37399677364418,27.06785742521001,0.0,0.3084673931711264,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,26.372732950181264,26.85637793210046,0.34957450660762726,7.654542419278762,27.34002291401966,26.829754727206049,-0.39999999999999999,0.39999999999999999,2185052.6086439576,0.0,0.0
 05/26  10:00:00,18.233333333333336,11.700000000000001,101700.0,0.4166666666666667,16.666666666666669,165.5,614.4166666666666,92.27054496680516,38.94807943797361,0.0,0.4270368930760143,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,26.013201005471477,26.997672538282733,0.42491948604635679,8.765405304953119,27.982144071093999,27.039950309364305,-0.39999999999999999,0.39999999999999999,6201526.218364507,0.0,0.0
 05/26  11:00:00,20.5,10.333333333333334,101700.0,1.2249999999999999,0.0,215.33333333333335,652.2500000000001,103.08952571788346,50.72657103271741,0.0,0.4104904423145497,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,25.70957098227925,26.97332061067138,0.4077694011624697,8.465799080731648,28.237070239063504,26.986755345393815,-0.39999999999999999,0.39999999999999999,8683995.473840593,0.0,0.0
 05/26  12:00:00,22.583333333333333,9.583333333333334,101700.0,2.1,0.0,281.3333333333333,611.9166666666666,118.84809992620926,61.827897568698407,0.0,0.39720857875812129,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,25.70678757331818,26.982180413846426,0.3964662724564667,8.274773004073787,28.257573254374667,26.97634762072624,-0.39999999999999999,0.39999999999999999,9668580.17947682,0.0,0.0
 05/26  13:00:00,22.53333333333333,11.341666666666667,101641.66666666667,2.6833333333333337,325.0,354.8333333333333,528.1666666666666,146.856895337873,70.59549254127649,0.0,0.3962735932825596,-0.39999999999999999,0.39999999999999999,-0.5,0.5,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,25.78731166173483,26.988482578551368,0.39712934404489838,8.285893996854553,28.189653495367904,26.983660460617,-0.39999999999999999,0.39999999999999999,9135679.73709824,0.0,0.0
