Date/Time,Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),Carbon Equivalent:Facility [kg](Hourly)
 01/06  08:00:00,6217002.235463284,0.0,0.0
 01/06  09:00:00,6200324.685305895,0.0,0.0
 01/06  10:00:00,5477689.379470222,0.0,0.0
 01/06  11:00:00,4516852.03414893,0.0,0.0
 01/06  12:00:00,3273693.2570792159,0.0,0.0
 01/06  13:00:00,1774192.0990421086,0.0,0.0
 01/06  14:00:00,3263021.0523411056,0.0,0.0
 01/06  15:00:00,5762924.331470139,0.0,0.0
 01/06  16:00:00,8057795.32798307,0.0,0.0
 01/06  17:00:00,8583369.159573477,0.0,0.0
 01/06  18:00:00,6956436.884982501,0.0,0.0
 01/06  19:00:00,4438463.695322072,0.0,0.0
 01/06  20:00:00,2709608.69300666,0.0,0.0
 01/06  21:00:00,1507298.9433151186,0.0,0.0
 01/06  22:00:00,2403965.8744475014,0.0,0.0
 01/06  23:00:00,3345507.216921446,0.0,0.0
 01/06  24:00:00,4105451.563164184,0.0,0.0
 01/07  01:00:00,4866057.078492152,0.0,0.0
 01/07  02:00:00,5696930.589356764,0.0,0.0
 01/07  03:00:00,6549152.232030965,0.0,0.0
 01/07  04:00:00,6747807.240715008,0.0,0.0
 01/07  05:00:00,6737980.450135401,0.0,0.0
 01/07  06:00:00,6805983.366965557,0.0,0.0
 01/07  07:00:00,6807509.444405532,0.0,0.0
 01/07  08:00:00,18933077.023172868,12977169.904799996,0.0
 01/07  09:00:00,18309938.95491,12977169.904799996,0.0
 01/07  10:00:00,16451811.075267302,12977169.904799996,0.0
 01/07  11:00:00,15144152.174393939,12977169.904799996,0.0
 01/07  12:00:00,14594353.385518555,12977169.904799996,0.0
 01/07  13:00:00,16427105.649964352,12977169.904799996,0.0
 01/07  14:00:00,18455682.40308955,12977169.904799996,0.0
 01/07  15:00:00,20357152.149919265,12977169.904799996,0.0
 01/07  16:00:00,21788823.57068029,12977169.904799996,0.0
 01/07  17:00:00,21960139.27466724,12977169.904799996,0.0
 01/07  18:00:00,20378049.50633896,12977169.904799996,0.0
 01/07  19:00:00,17761867.88757659,12977169.904799996,0.0
 01/07  20:00:00,1889994.2732463505,0.0,0.0
 01/07  21:00:00,3784855.0553309249,0.0,0.0
 01/07  22:00:00,4751493.618188451,0.0,0.0
 01/07  23:00:00,5161516.337580364,0.0,0.0
 01/07  24:00:00,5808567.179607261,0.0,0.0
 01/08  01:00:00,6376737.881826606,0.0,0.0
 01/08  02:00:00,6766696.825539134,0.0,0.0
 01/08  03:00:00,7077908.308972368,0.0,0.0
 01/08  04:00:00,7359206.137549323,0.0,0.0
 01/08  05:00:00,7900520.722593688,0.0,0.0
 01/08  06:00:00,8766919.916158095,0.0,0.0
 01/08  07:00:00,9645406.082884113,0.0,0.0
 01/08  08:00:00,21104185.556157628,12977169.904799996,0.0
 01/08  09:00:00,20224018.55441468,12977169.904799996,0.0
